ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO;id_meso;codigo_meso;id_micro;codigo_micro;id_micro_meso;id_municipio;codigo_municipio;estado_id;id_produto;codigo_produto
2015;11;1;1;3304;1320010;;73;1;1;1;73;17;3304;18;840;1320010
2015;11;3;7;3346;1320010;;75;3;7;7;75;51;3346;18;840;1320010
2015;11;3;8;4500;1320010;;75;3;8;8;75;55;4500;18;840;1320010
2015;11;3;8;4559;1320010;;75;3;8;8;75;56;4559;18;840;1320010
2015;11;4;12;5036;1320010;;76;4;12;12;76;88;5036;18;840;1320010
2015;11;3;7;5069;1320010;;75;3;7;7;75;52;5069;18;840;1320010
2015;11;3;7;5069;1320010;;75;3;7;7;75;52;5069;18;840;1320010
2015;11;3;7;1902;1320020;;75;3;7;7;75;49;1902;18;842;1320020
2015;11;2;6;2504;1320020;;74;2;6;6;74;41;2504;18;842;1320020
2015;11;4;11;2553;1320020;;76;4;11;11;76;75;2553;18;842;1320020
2015;11;3;7;3346;1320020;;75;3;7;7;75;51;3346;18;842;1320020
2015;11;3;8;4559;1320020;;75;3;8;8;75;56;4559;18;842;1320020
2015;11;2;5;4906;1320020;;74;2;5;5;74;38;4906;18;842;1320020
2015;11;4;12;5036;1320020;;76;4;12;12;76;88;5036;18;842;1320020
2015;11;3;7;102;1331040;;75;3;7;7;75;46;102;18;741;1331040
2015;11;3;7;102;1331040;;75;3;7;7;75;46;102;18;741;1331040
2015;11;1;2;136;1331040;;73;1;2;2;73;18;136;18;741;1331040
2015;11;4;12;1209;1331040;;76;4;12;12;76;82;1209;18;741;1331040
2015;11;1;3;1506;1331040;;73;1;3;3;73;26;1506;18;741;1331040
2015;11;3;7;1704;1331040;;75;3;7;7;75;48;1704;18;741;1331040
2015;11;1;1;2108;1331040;;73;1;1;1;73;16;2108;18;741;1331040
2015;11;4;11;2454;1331040;;76;4;11;11;76;74;2454;18;741;1331040
2015;11;4;13;2801;1331040;;76;4;13;13;76;89;2801;18;741;1331040
2015;11;3;7;3163;1331040;;75;3;7;7;75;50;3163;18;741;1331040
2015;11;2;5;4906;1331040;;74;2;5;5;74;38;4906;18;741;1331040
2015;11;3;7;5069;1331040;;75;3;7;7;75;52;5069;18;741;1331040
2015;11;4;11;2454;1331070;;76;4;11;11;76;74;2454;18;825;1331070
2015;11;4;11;3007;1331070;;76;4;11;11;76;77;3007;18;825;1331070
2015;11;4;12;3403;1331070;;76;4;12;12;76;85;3403;18;825;1331070
2015;11;4;11;3700;1331070;;76;4;11;11;76;78;3700;18;825;1331070
2015;11;4;11;201;1332030;;76;4;11;11;76;70;201;18;585;1332030
2015;11;3;7;102;1332080;;75;3;7;7;75;46;102;18;612;1332080
2015;11;1;2;136;1332080;;73;1;2;2;73;18;136;18;612;1332080
2015;11;4;12;508;1332080;;76;4;12;12;76;79;508;18;612;1332080
2015;11;4;12;706;1332080;;76;4;12;12;76;80;706;18;612;1332080
2015;11;4;12;1209;1332080;;76;4;12;12;76;82;1209;18;612;1332080
2015;11;4;12;1407;1332080;;76;4;12;12;76;83;1407;18;612;1332080
